"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"soil_C",-0.327086731083332,0.447898847307365,0.166535147699621,-0.0086763042851185,0.0392879552413877,-0.0152249508378583,0.233006840499454,0.198950559902901,0.50037316045465,-0.307179548735666,0.473508425299348
"soil_N",-0.354774737417948,0.376189721408362,0.0803365140178101,-0.0124954650268911,0.033103910023958,0.0714045663189438,0.200468481165817,0.195902109725242,0.116454194115233,0.3274993466582,-0.721407621384454
"soil_P",-0.220271271652222,0.0240218974222908,-0.102260684119986,0.86861797785061,-0.28746537647444,0.249600734825732,-0.0955111907967193,-0.173633407454388,-0.000408530158385587,0.0149435580101247,0.0389587255350929
"soil_pH",0.337605441092731,-0.226970647820006,-0.188488951285699,0.129101849052127,-0.059005249029388,0.226888923991789,0.518724636183339,0.510892318495529,0.114046342526962,0.385648865555888,0.188503290991224
"soil_sal",-0.28064222854454,-0.392561800005561,-0.00168089233516311,0.0312980856028999,0.575344750878786,0.243721752386262,-0.422126461330745,0.120361286966419,0.361619035329087,0.221351176424998,0.0573466951933241
"soil_wat",-0.353950805247307,0.231795126201253,0.0236371509331343,-0.106935164521431,0.228171433191446,0.250659500123082,0.0941203369570323,-0.024138309656279,-0.670901357289984,0.298392328528023,0.381465209333944
"biomass_above",-0.327448618401261,-0.300763927122896,-0.166191852730747,-0.113060140063875,-0.0555219327056108,-0.268820438530664,0.445515231590933,-0.589306863419345,0.223925830209073,0.287645528935579,0.0889937833563176
"plant_dens",-0.31546028552256,-0.404127556761876,0.0199009793459201,0.196156607120753,0.249120451786131,-0.236729488152474,0.340168318866958,0.291504452452229,-0.296815265872685,-0.510711648414051,-0.174858204632996
"leaf_N",0.314209211622933,0.0646517179773685,0.204688059389983,0.0426964247427363,0.396404050262249,0.543396021688667,0.353140394084233,-0.423653785276822,0.0539462711728525,-0.264280024238034,-0.154959135909362
"leaf_C",0.249195034289076,0.0852566653684932,0.592994804110115,0.361212419461942,0.300399104927708,-0.500495054815941,0.0366505279807865,-0.0381885557646744,-0.0315869033956211,0.311808183522633,0.0822025626955606
"leaf_P",0.181790189154888,0.364300530586604,-0.705485220446147,0.180643295481372,0.46436985531565,-0.290826727660774,-0.00484474235972117,-0.0511243464593511,0.00560497757109102,-0.0277057331970714,-0.0155020085244076
